Country,WeekEnding,AgeBand,AgeBandQF,Admissions,AdmissionsQF
S92000003,20200308,18-29,"","",c
S92000003,20200315,18-29,"",10,""
S92000003,20200322,18-29,"","",c
S92000003,20200329,18-29,"",12,""
S92000003,20200405,18-29,"",8,""
S92000003,20200412,18-29,"","",c
S92000003,20200419,18-29,"","",c
S92000003,20200426,18-29,"","",c
S92000003,20200503,18-29,"","",c
S92000003,20200510,18-29,"","",c
S92000003,20200517,18-29,"","",c
S92000003,20200524,18-29,"","",c
S92000003,20200531,18-29,"",0,""
S92000003,20200607,18-29,"",0,""
S92000003,20200614,18-29,"","",c
S92000003,20200621,18-29,"",0,""
S92000003,20200628,18-29,"",0,""
S92000003,20200705,18-29,"",0,""
S92000003,20200712,18-29,"",0,""
S92000003,20200719,18-29,"",0,""
S92000003,20200726,18-29,"","",c
S92000003,20200802,18-29,"",0,""
S92000003,20200809,18-29,"",0,""
S92000003,20200816,18-29,"","",c
S92000003,20200823,18-29,"","",c
S92000003,20200830,18-29,"","",c
S92000003,20200906,18-29,"",0,""
S92000003,20200913,18-29,"","",c
S92000003,20200920,18-29,"","",c
S92000003,20200927,18-29,"","",c
S92000003,20201004,18-29,"","",c
S92000003,20201011,18-29,"",9,""
S92000003,20201018,18-29,"",14,""
S92000003,20201025,18-29,"",11,""
S92000003,20201101,18-29,"",21,""
S92000003,20201108,18-29,"",8,""
S92000003,20201115,18-29,"",16,""
S92000003,20201122,18-29,"",13,""
S92000003,20201129,18-29,"",8,""
S92000003,20201206,18-29,"",11,""
S92000003,20201213,18-29,"","",c
S92000003,20201220,18-29,"",11,""
S92000003,20201227,18-29,"",10,""
S92000003,20210103,18-29,"",15,""
S92000003,20210110,18-29,"",30,""
S92000003,20210117,18-29,"",19,""
S92000003,20210124,18-29,"",24,""
S92000003,20210131,18-29,"",13,""
S92000003,20210207,18-29,"",18,""
S92000003,20210214,18-29,"",15,""
S92000003,20210221,18-29,"",16,""
S92000003,20210228,18-29,"",14,""
S92000003,20210307,18-29,"",8,""
S92000003,20210314,18-29,"",12,""
S92000003,20210321,18-29,"",13,""
S92000003,20210328,18-29,"",11,""
S92000003,20210404,18-29,"","",c
S92000003,20210411,18-29,"",7,""
S92000003,20210418,18-29,"",9,""
S92000003,20210425,18-29,"",8,""
S92000003,20210502,18-29,"","",c
S92000003,20210509,18-29,"",5,""
S92000003,20210516,18-29,"",5,""
S92000003,20210523,18-29,"",13,""
S92000003,20210530,18-29,"",6,""
S92000003,20210606,18-29,"",20,""
S92000003,20210613,18-29,"",19,""
S92000003,20210620,18-29,"",22,""
S92000003,20210627,18-29,"",32,""
S92000003,20210704,18-29,"",48,""
S92000003,20210711,18-29,"",73,""
S92000003,20210718,18-29,"",48,""
S92000003,20210725,18-29,"",35,""
S92000003,20210801,18-29,"",27,""
S92000003,20210808,18-29,"",18,""
S92000003,20210815,18-29,"",17,""
S92000003,20210822,18-29,"",21,""
S92000003,20210829,18-29,"",43,""
S92000003,20210905,18-29,"",48,""
S92000003,20210912,18-29,"",45,""
S92000003,20210919,18-29,"",28,""
S92000003,20210926,18-29,"",25,""
S92000003,20211003,18-29,"",15,""
S92000003,20211010,18-29,"",17,""
S92000003,20211017,18-29,"",14,""
S92000003,20211024,18-29,"",19,""
S92000003,20211031,18-29,"",18,""
S92000003,20211107,18-29,"",16,""
S92000003,20211114,18-29,"",18,""
S92000003,20211121,18-29,"",12,""
S92000003,20211128,18-29,"",13,""
S92000003,20211205,18-29,"",19,""
S92000003,20211212,18-29,"",15,""
S92000003,20211219,18-29,"",20,""
S92000003,20211226,18-29,"",36,""
S92000003,20220102,18-29,"",50,""
S92000003,20220109,18-29,"",52,""
S92000003,20220116,18-29,"",37,""
S92000003,20220123,18-29,"",35,""
S92000003,20220130,18-29,"",24,""
S92000003,20220206,18-29,"",25,""
S92000003,20220213,18-29,"",40,""
S92000003,20220220,18-29,"",30,""
S92000003,20220227,18-29,"",23,""
S92000003,20220306,18-29,"",26,""
S92000003,20220313,18-29,"",29,""
S92000003,20220320,18-29,"",43,""
S92000003,20220327,18-29,"",47,""
S92000003,20220403,18-29,"",27,""
S92000003,20220410,18-29,"",24,""
S92000003,20220417,18-29,"",28,""
S92000003,20220424,18-29,"",13,""
S92000003,20220501,18-29,"",10,""
S92000003,20220508,18-29,"",7,""
S92000003,20220515,18-29,"","",c
S92000003,20220522,18-29,"",6,""
S92000003,20220529,18-29,"",10,""
S92000003,20220605,18-29,"",9,""
S92000003,20220612,18-29,"",15,""
S92000003,20220619,18-29,"",13,""
S92000003,20220626,18-29,"",21,""
S92000003,20220703,18-29,"",18,""
S92000003,20220710,18-29,"",26,""
S92000003,20220717,18-29,"",25,""
S92000003,20220724,18-29,"",16,""
S92000003,20220731,18-29,"",5,""
S92000003,20220807,18-29,"",9,""
S92000003,20220814,18-29,"",8,""
S92000003,20220821,18-29,"","",c
S92000003,20220828,18-29,"",8,""
S92000003,20220904,18-29,"",9,""
S92000003,20220911,18-29,"",10,""
S92000003,20220918,18-29,"",7,""
S92000003,20220925,18-29,"",9,""
S92000003,20221002,18-29,"","",c
S92000003,20221009,18-29,"","",c
S92000003,20221016,18-29,"","",c
S92000003,20200301,30-39,"",0,""
S92000003,20200308,30-39,"","",c
S92000003,20200315,30-39,"",5,""
S92000003,20200322,30-39,"",8,""
S92000003,20200329,30-39,"",31,""
S92000003,20200405,30-39,"",35,""
S92000003,20200412,30-39,"",23,""
S92000003,20200419,30-39,"",14,""
S92000003,20200426,30-39,"",16,""
S92000003,20200503,30-39,"",13,""
S92000003,20200510,30-39,"",7,""
S92000003,20200517,30-39,"","",c
S92000003,20200524,30-39,"",6,""
S92000003,20200531,30-39,"","",c
S92000003,20200607,30-39,"","",c
S92000003,20200614,30-39,"","",c
S92000003,20200621,30-39,"",0,""
S92000003,20200628,30-39,"",0,""
S92000003,20200705,30-39,"",0,""
S92000003,20200712,30-39,"",0,""
S92000003,20200719,30-39,"",0,""
S92000003,20200726,30-39,"",0,""
S92000003,20200802,30-39,"",0,""
S92000003,20200809,30-39,"","",c
S92000003,20200816,30-39,"",0,""
S92000003,20200823,30-39,"","",c
S92000003,20200830,30-39,"","",c
S92000003,20200906,30-39,"","",c
S92000003,20200913,30-39,"","",c
S92000003,20200920,30-39,"","",c
S92000003,20200927,30-39,"",7,""
S92000003,20201004,30-39,"",10,""
S92000003,20201011,30-39,"",12,""
S92000003,20201018,30-39,"",19,""
S92000003,20201025,30-39,"",31,""
S92000003,20201101,30-39,"",21,""
S92000003,20201108,30-39,"",36,""
S92000003,20201115,30-39,"",26,""
S92000003,20201122,30-39,"",25,""
S92000003,20201129,30-39,"",23,""
S92000003,20201206,30-39,"",20,""
S92000003,20201213,30-39,"",14,""
S92000003,20201220,30-39,"",15,""
S92000003,20201227,30-39,"",24,""
S92000003,20210103,30-39,"",27,""
S92000003,20210110,30-39,"",45,""
S92000003,20210117,30-39,"",46,""
S92000003,20210124,30-39,"",45,""
S92000003,20210131,30-39,"",38,""
S92000003,20210207,30-39,"",29,""
S92000003,20210214,30-39,"",30,""
S92000003,20210221,30-39,"",39,""
S92000003,20210228,30-39,"",25,""
S92000003,20210307,30-39,"",29,""
S92000003,20210314,30-39,"",21,""
S92000003,20210321,30-39,"",23,""
S92000003,20210328,30-39,"",23,""
S92000003,20210404,30-39,"",17,""
S92000003,20210411,30-39,"",25,""
S92000003,20210418,30-39,"",14,""
S92000003,20210425,30-39,"",17,""
S92000003,20210502,30-39,"",9,""
S92000003,20210509,30-39,"",11,""
S92000003,20210516,30-39,"",9,""
S92000003,20210523,30-39,"",27,""
S92000003,20210530,30-39,"",24,""
S92000003,20210606,30-39,"",34,""
S92000003,20210613,30-39,"",30,""
S92000003,20210620,30-39,"",42,""
S92000003,20210627,30-39,"",40,""
S92000003,20210704,30-39,"",61,""
S92000003,20210711,30-39,"",69,""
S92000003,20210718,30-39,"",57,""
S92000003,20210725,30-39,"",48,""
S92000003,20210801,30-39,"",39,""
S92000003,20210808,30-39,"",25,""
S92000003,20210815,30-39,"",19,""
S92000003,20210822,30-39,"",27,""
S92000003,20210829,30-39,"",56,""
S92000003,20210905,30-39,"",71,""
S92000003,20210912,30-39,"",92,""
S92000003,20210919,30-39,"",90,""
S92000003,20210926,30-39,"",42,""
S92000003,20211003,30-39,"",39,""
S92000003,20211010,30-39,"",40,""
S92000003,20211017,30-39,"",35,""
S92000003,20211024,30-39,"",32,""
S92000003,20211031,30-39,"",36,""
S92000003,20211107,30-39,"",38,""
S92000003,20211114,30-39,"",40,""
S92000003,20211121,30-39,"",40,""
S92000003,20211128,30-39,"",52,""
S92000003,20211205,30-39,"",35,""
S92000003,20211212,30-39,"",36,""
S92000003,20211219,30-39,"",35,""
S92000003,20211226,30-39,"",48,""
S92000003,20220102,30-39,"",60,""
S92000003,20220109,30-39,"",52,""
S92000003,20220116,30-39,"",50,""
S92000003,20220123,30-39,"",50,""
S92000003,20220130,30-39,"",39,""
S92000003,20220206,30-39,"",38,""
S92000003,20220213,30-39,"",23,""
S92000003,20220220,30-39,"",38,""
S92000003,20220227,30-39,"",36,""
S92000003,20220306,30-39,"",49,""
S92000003,20220313,30-39,"",49,""
S92000003,20220320,30-39,"",64,""
S92000003,20220327,30-39,"",42,""
S92000003,20220403,30-39,"",31,""
S92000003,20220410,30-39,"",44,""
S92000003,20220417,30-39,"",20,""
S92000003,20220424,30-39,"",25,""
S92000003,20220501,30-39,"",14,""
S92000003,20220508,30-39,"",13,""
S92000003,20220515,30-39,"",17,""
S92000003,20220522,30-39,"",11,""
S92000003,20220529,30-39,"",12,""
S92000003,20220605,30-39,"",16,""
S92000003,20220612,30-39,"",19,""
S92000003,20220619,30-39,"",22,""
S92000003,20220626,30-39,"",21,""
S92000003,20220703,30-39,"",31,""
S92000003,20220710,30-39,"",33,""
S92000003,20220717,30-39,"",23,""
S92000003,20220724,30-39,"",26,""
S92000003,20220731,30-39,"",16,""
S92000003,20220807,30-39,"",15,""
S92000003,20220814,30-39,"",11,""
S92000003,20220821,30-39,"",10,""
S92000003,20220828,30-39,"",9,""
S92000003,20220904,30-39,"",16,""
S92000003,20220911,30-39,"",15,""
S92000003,20220918,30-39,"",10,""
S92000003,20220925,30-39,"",6,""
S92000003,20221002,30-39,"","",c
S92000003,20221009,30-39,"","",c
S92000003,20221016,30-39,"",8,""
S92000003,20200301,40-49,"",0,""
S92000003,20200308,40-49,"","",c
S92000003,20200315,40-49,"",9,""
S92000003,20200322,40-49,"",20,""
S92000003,20200329,40-49,"",65,""
S92000003,20200405,40-49,"",91,""
S92000003,20200412,40-49,"",64,""
S92000003,20200419,40-49,"",37,""
S92000003,20200426,40-49,"",25,""
S92000003,20200503,40-49,"",19,""
S92000003,20200510,40-49,"",16,""
S92000003,20200517,40-49,"",8,""
S92000003,20200524,40-49,"",8,""
S92000003,20200531,40-49,"",5,""
S92000003,20200607,40-49,"","",c
S92000003,20200614,40-49,"","",c
S92000003,20200621,40-49,"",0,""
S92000003,20200628,40-49,"",0,""
S92000003,20200705,40-49,"","",c
S92000003,20200712,40-49,"",0,""
S92000003,20200719,40-49,"",0,""
S92000003,20200726,40-49,"","",c
S92000003,20200802,40-49,"",0,""
S92000003,20200809,40-49,"",0,""
S92000003,20200816,40-49,"","",c
S92000003,20200823,40-49,"","",c
S92000003,20200830,40-49,"","",c
S92000003,20200906,40-49,"",5,""
S92000003,20200913,40-49,"","",c
S92000003,20200920,40-49,"",9,""
S92000003,20200927,40-49,"","",c
S92000003,20201004,40-49,"",14,""
S92000003,20201011,40-49,"",26,""
S92000003,20201018,40-49,"",40,""
S92000003,20201025,40-49,"",47,""
S92000003,20201101,40-49,"",55,""
S92000003,20201108,40-49,"",36,""
S92000003,20201115,40-49,"",56,""
S92000003,20201122,40-49,"",50,""
S92000003,20201129,40-49,"",30,""
S92000003,20201206,40-49,"",27,""
S92000003,20201213,40-49,"",26,""
S92000003,20201220,40-49,"",33,""
S92000003,20201227,40-49,"",32,""
S92000003,20210103,40-49,"",61,""
S92000003,20210110,40-49,"",69,""
S92000003,20210117,40-49,"",96,""
S92000003,20210124,40-49,"",69,""
S92000003,20210131,40-49,"",69,""
S92000003,20210207,40-49,"",51,""
S92000003,20210214,40-49,"",38,""
S92000003,20210221,40-49,"",40,""
S92000003,20210228,40-49,"",29,""
S92000003,20210307,40-49,"",27,""
S92000003,20210314,40-49,"",20,""
S92000003,20210321,40-49,"",23,""
S92000003,20210328,40-49,"",32,""
S92000003,20210404,40-49,"",19,""
S92000003,20210411,40-49,"",20,""
S92000003,20210418,40-49,"",15,""
