id,week_ending,hb,hbqf,simd_quintile,admission_type,admission_type_qf,number_admissions,average20182019,percent_var,hb_name,hb_date_enacted,hb_date_archived,country,year,month,day,wdate,iswinter,above_thresh
38,20200105,S08000026,NA,3,All,d,6,15.5,-61.3,NHS Shetland,20140401,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
39,20200105,S08000026,NA,4,All,d,19,18,5.6,NHS Shetland,20140401,NA,S92000003,2020,1,5,2020-01-05,TRUE,7
40,20200105,S08000028,NA,2,All,d,8,17,-52.9,NHS Western Isles,20140401,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
41,20200105,S08000028,NA,3,All,d,56,64.5,-13.2,NHS Western Isles,20140401,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
42,20200105,S08000029,NA,1,All,d,243,255,-4.7,NHS Fife,20180202,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
43,20200105,S08000029,NA,2,All,d,222,223,-0.4,NHS Fife,20180202,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
44,20200105,S08000029,NA,3,All,d,176,165,6.7,NHS Fife,20180202,NA,S92000003,2020,1,5,2020-01-05,TRUE,7
45,20200105,S08000029,NA,4,All,d,156,140,11.4,NHS Fife,20180202,NA,S92000003,2020,1,5,2020-01-05,TRUE,7
46,20200105,S08000029,NA,5,All,d,112,117,-4.3,NHS Fife,20180202,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
47,20200105,S08000030,NA,1,All,d,252,258,-2.3,NHS Tayside,20180202,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
48,20200105,S08000030,NA,2,All,d,226,246,-8.1,NHS Tayside,20180202,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
49,20200105,S08000030,NA,3,All,d,193,223,-13.5,NHS Tayside,20180202,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
50,20200105,S08000030,NA,4,All,d,271,259.5,4.4,NHS Tayside,20180202,NA,S92000003,2020,1,5,2020-01-05,TRUE,7
51,20200105,S08000030,NA,5,All,d,189,180,5,NHS Tayside,20180202,NA,S92000003,2020,1,5,2020-01-05,TRUE,7
52,20200105,S08000031,NA,1,All,d,1411,1518,-7,NHS Greater Glasgow and Clyde,20190401,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
53,20200105,S08000031,NA,2,All,d,747,726,2.9,NHS Greater Glasgow and Clyde,20190401,NA,S92000003,2020,1,5,2020-01-05,TRUE,7
54,20200105,S08000031,NA,3,All,d,528,499,5.8,NHS Greater Glasgow and Clyde,20190401,NA,S92000003,2020,1,5,2020-01-05,TRUE,7
55,20200105,S08000031,NA,4,All,d,402,448,-10.3,NHS Greater Glasgow and Clyde,20190401,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
56,20200105,S08000031,NA,5,All,d,468,481.5,-2.8,NHS Greater Glasgow and Clyde,20190401,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
57,20200105,S08000032,NA,1,All,d,564,553,2,NHS Lanarkshire,20190401,NA,S92000003,2020,1,5,2020-01-05,TRUE,7
58,20200105,S08000032,NA,2,All,d,451,468,-3.6,NHS Lanarkshire,20190401,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
59,20200105,S08000032,NA,3,All,d,290,288,0.7,NHS Lanarkshire,20190401,NA,S92000003,2020,1,5,2020-01-05,TRUE,7
60,20200105,S08000032,NA,4,All,d,197,198.5,-0.8,NHS Lanarkshire,20190401,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
61,20200105,S08000032,NA,5,All,d,134,136.5,-1.8,NHS Lanarkshire,20190401,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
62,20200105,S92000003,d,1,All,d,3667,3867.5,-5.2,All Scotland,NA,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
63,20200105,S92000003,d,2,All,d,3231,3295,-1.9,All Scotland,NA,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
64,20200105,S92000003,d,3,All,d,2780,2753,1,All Scotland,NA,NA,S92000003,2020,1,5,2020-01-05,TRUE,7
65,20200105,S92000003,d,4,All,d,2345,2331,0.6,All Scotland,NA,NA,S92000003,2020,1,5,2020-01-05,TRUE,7
66,20200105,S92000003,d,5,All,d,1898,1954.5,-2.9,All Scotland,NA,NA,S92000003,2020,1,5,2020-01-05,TRUE,0
67,20200105,NA,NA,1,All,d,35,39,-10.3,NHS Region Unknown,NA,NA,NA,2020,1,5,2020-01-05,TRUE,0
68,20200105,NA,NA,2,All,d,28,27,3.7,NHS Region Unknown,NA,NA,NA,2020,1,5,2020-01-05,TRUE,7
69,20200105,NA,NA,3,All,d,22,27,-18.5,NHS Region Unknown,NA,NA,NA,2020,1,5,2020-01-05,TRUE,0
70,20200105,NA,NA,4,All,d,21,26,-19.2,NHS Region Unknown,NA,NA,NA,2020,1,5,2020-01-05,TRUE,0
71,20200105,NA,NA,5,All,d,11,30,-63.3,NHS Region Unknown,NA,NA,NA,2020,1,5,2020-01-05,TRUE,0
72,20200112,S08000015,NA,1,All,d,449,419,7.2,NHS Ayrshire and Arran,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,7
73,20200112,S08000015,NA,2,All,d,265,285,-7,NHS Ayrshire and Arran,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
74,20200112,S08000015,NA,3,All,d,156,210,-25.7,NHS Ayrshire and Arran,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
75,20200112,S08000015,NA,4,All,d,117,142,-17.6,NHS Ayrshire and Arran,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
76,20200112,S08000015,NA,5,All,d,101,114.5,-11.8,NHS Ayrshire and Arran,20140401,NA,S92000003,2020,1,12,2020-01-12,TRUE,0
